Restaurant,Mon,Tue,Wed,Thu,Fri,Sat,Sun
Rafain Brazilian Steakhouse,"[[0, 135]]",[],"[[1065, 1110]]","[[600, 1170]]","[[960, 1080]]",[],"[[660, 1440]]"
TruFire Kitchen & Bar - Southlake,"[[855, 975]]","[[1050, 1215]]","[[825, 1440]]","[[0, 765], [540, 975]]","[[375, 645]]","[[855, 975]]","[[540, 975]]"
Taco Diner Addison,"[[960, 1380]]","[[345, 810]]","[[1020, 1365]]","[[330, 885]]",[],"[[855, 1440]]","[[0, 60], [555, 825]]"
Oak,[],"[[780, 1260]]","[[750, 1110]]","[[330, 1410]]","[[765, 825]]","[[780, 1260]]","[[360, 1050]]"
Avanti Ristorante,[],"[[945, 1440]]","[[0, 195], [960, 1050]]",[],"[[1020, 1440]]","[[0, 765], [1050, 1440]]","[[0, 90], [510, 1365]]"
Mi Cocina - Legacy,[],"[[1035, 1080]]","[[945, 1185]]","[[570, 1410]]","[[465, 750]]","[[330, 555]]","[[330, 1290]]"
Henry's Tavern - Plano,"[[1020, 1440]]","[[0, 105], [780, 1035]]","[[1020, 1440]]","[[0, 105], [390, 690]]","[[435, 720]]","[[480, 1440]]","[[0, 180], [1065, 1305]]"
Zio Cecio,"[[330, 705], [0, 150]]","[[300, 1140]]","[[645, 1215]]","[[300, 1140]]","[[645, 1215]]","[[300, 1140]]","[[315, 1440]]"
Spoon Bar & Kitchen,[],"[[585, 1185]]","[[300, 435]]",[],"[[675, 1050]]","[[900, 1440]]","[[0, 105], [345, 1155]]"
Crumbzz,"[[435, 765]]",[],"[[615, 780]]","[[750, 1440]]","[[0, 165], [885, 1425]]","[[615, 1245]]","[[675, 1140]]"
Piccolo Mondo,"[[900, 1050]]","[[720, 885]]","[[900, 1050]]","[[1050, 1245]]","[[600, 1170]]","[[525, 1005]]",[]
Wild Salsa,"[[0, 750]]","[[435, 630]]","[[405, 540]]","[[1005, 1440]]","[[0, 750], [960, 1200]]","[[405, 540]]","[[1005, 1440]]"
Le Bilboquet - Dallas,"[[975, 1230]]","[[465, 690]]","[[975, 1230]]",[],"[[510, 1350]]","[[630, 1110]]",[]
TEI-AN,"[[510, 960]]","[[1035, 1290]]","[[900, 1155]]","[[1035, 1290]]","[[930, 1440]]","[[900, 1155], [0, 75]]",[]
Sevy's Grill,"[[870, 1440]]","[[0, 105]]","[[330, 1440]]","[[0, 120]]","[[945, 1440]]","[[0, 60], [1050, 1395]]","[[375, 1050]]"
Kobe Steaks - Dallas,"[[585, 1155]]",[],"[[1065, 1425]]","[[795, 1140]]","[[1050, 1125]]","[[1065, 1425]]",[]
Texan Station at the Gaylord Texan,"[[450, 930], [0, 750]]","[[570, 1440]]","[[0, 180], [900, 1440]]","[[0, 720], [465, 690]]","[[315, 420]]","[[555, 1440]]","[[0, 105], [960, 1440]]"
Sushi Zushi of Southlake,"[[465, 1380], [0, 60]]","[[525, 915]]",[],"[[930, 1440]]","[[0, 60], [300, 735]]","[[1005, 1260]]","[[930, 1440]]"
Kenny's Smoke House,"[[825, 1125], [0, 105]]","[[570, 1125]]","[[825, 1125]]","[[810, 1440]]","[[0, 765], [675, 780]]","[[570, 1125]]","[[915, 1440]]"
Braza Dancante,"[[0, 165]]","[[315, 1440]]","[[0, 60]]","[[885, 1095]]","[[780, 1170]]","[[1005, 1440]]","[[0, 150], [435, 1440]]"
Lazaranda Modern Kitchen & Tequila,"[[705, 1425]]","[[450, 1260]]","[[645, 720]]","[[510, 750]]","[[360, 1440]]","[[645, 720], [0, 60]]","[[615, 1260]]"
Texas de Brazil - Dallas,[],"[[345, 810]]","[[735, 825]]","[[930, 1425]]","[[315, 1395]]","[[510, 1440]]","[[735, 825], [0, 75]]"
RA Sushi Bar Restaurant - Plano,"[[690, 1440]]","[[0, 60], [315, 375]]","[[780, 1005]]","[[750, 1305]]","[[585, 1440]]","[[690, 1440], [0, 60]]","[[0, 60], [765, 1230]]"
Souk at Trinity Groves,"[[525, 1440]]","[[0, 105], [630, 735]]","[[525, 1440]]","[[0, 105], [630, 735]]","[[585, 765]]","[[975, 1440]]","[[0, 150], [960, 1245]]"
Turkish Cafe and Lounge,[],"[[765, 975]]","[[330, 1185]]","[[765, 975]]",[],"[[810, 1335]]","[[330, 1185]]"
Ruchi Palace - Plano,"[[735, 1185]]","[[990, 1035]]",[],"[[360, 1005]]","[[735, 1185]]","[[705, 1440]]","[[0, 210], [1005, 1320]]"
The Cedars Social,"[[450, 1155]]","[[450, 1440]]","[[450, 1155], [0, 210]]",[],"[[300, 1440]]","[[0, 120], [600, 1290]]","[[795, 990]]"
Komali Restaurant,"[[525, 1200]]",[],[],"[[750, 1200]]","[[870, 1425]]","[[1065, 1440]]","[[750, 1200], [0, 180]]"
24 Plates,"[[480, 1050]]","[[450, 735]]","[[690, 1440]]","[[0, 180], [315, 1440]]","[[690, 1440], [0, 210]]","[[0, 180]]","[[645, 1050]]"
Baboush,"[[360, 945]]","[[765, 1320]]","[[435, 1200]]",[],"[[780, 1185]]","[[915, 1440]]","[[0, 150], [810, 1260]]"
Stampede 66,"[[900, 1440]]","[[0, 210], [315, 1185]]","[[900, 1440]]","[[0, 210], [570, 690]]","[[525, 1350]]","[[300, 1290]]","[[465, 1005]]"
San Salvaje,"[[405, 1365], [0, 225]]","[[1065, 1335]]","[[420, 1155]]","[[660, 750]]","[[420, 1155]]","[[735, 1410]]","[[420, 1440]]"
Proof & Pantry,"[[315, 825]]","[[765, 930]]","[[315, 825]]","[[1035, 1440]]","[[315, 825], [0, 60]]","[[345, 1380]]","[[465, 495]]"
Howard Wang's Uptown China Brasserie,"[[555, 825]]","[[810, 1440]]","[[0, 75], [825, 1350]]","[[330, 555]]","[[945, 1305]]","[[660, 1185]]","[[945, 1305]]"
Remington's Seafood Grill,"[[1050, 1095], [0, 90]]","[[960, 1440]]","[[0, 105], [300, 1440]]","[[0, 225], [1005, 1290]]","[[885, 1035]]","[[600, 660]]","[[300, 1440]]"
Buca di Beppo - Park Lane,"[[585, 660]]","[[795, 990]]","[[585, 660]]","[[795, 990]]","[[405, 735]]","[[405, 1350]]","[[585, 885]]"
Winewood,"[[1005, 1440]]","[[0, 225]]",[],"[[510, 1290]]","[[900, 1305]]","[[1065, 1440]]","[[900, 1305], [0, 120]]"
Posados Cafe - Plano,"[[645, 975]]","[[1050, 1425]]","[[900, 1440]]","[[645, 975], [0, 225]]","[[885, 1395]]","[[510, 1155]]","[[885, 1395]]"
Barter,[],"[[360, 1380]]",[],"[[480, 1110]]","[[690, 750]]","[[1035, 1320]]","[[690, 750]]"
Asador,"[[420, 1125]]","[[645, 960]]","[[1065, 1440]]","[[0, 180], [645, 690]]","[[1050, 1395]]","[[645, 690]]","[[750, 1065]]"
Pakpao Thai Food,"[[645, 1425]]","[[360, 690]]","[[645, 1425]]","[[300, 1005]]","[[420, 1200]]","[[915, 1440]]","[[0, 105], [390, 1110]]"
Maggiano's - Willow Bend,"[[570, 1035]]","[[990, 1440]]","[[0, 765], [1065, 1275]]",[],"[[675, 810]]","[[1065, 1275]]",[]
Sambuca - Dallas Uptown,"[[615, 1035]]","[[810, 1065]]",[],"[[480, 1440]]","[[0, 180], [840, 1200]]","[[390, 585]]","[[525, 930]]"
Zodiac at Neiman Marcus – Downtown Dallas,"[[960, 1140]]",[],"[[435, 1425]]","[[795, 1440]]","[[0, 720], [450, 750]]","[[660, 930]]","[[690, 1155]]"
Misto Bistro,"[[645, 720]]","[[1065, 1365]]","[[780, 1155]]","[[615, 1095]]",[],"[[360, 525]]","[[1065, 1365]]"
Saint Ann Restaurant and Bar,"[[750, 795]]","[[825, 1305]]","[[600, 705]]","[[975, 1440]]","[[0, 135], [855, 990]]",[],"[[795, 945]]"
DISH - Dallas,"[[795, 1095]]","[[330, 690]]","[[675, 1440]]","[[0, 60], [615, 945]]","[[330, 690]]",[],"[[1035, 1185]]"
Benihana - Dallas,[],"[[1005, 1440]]","[[0, 750], [330, 1155]]","[[990, 1110]]","[[1005, 1440]]","[[0, 750], [990, 1110]]","[[855, 1410]]"
Dream Cafe,"[[330, 1440], [0, 60]]","[[0, 120], [1035, 1440]]","[[0, 105], [840, 975]]","[[480, 750]]",[],"[[480, 690]]","[[360, 1440]]"
Dallas Fish Market,"[[540, 990]]","[[780, 1440]]","[[0, 105], [450, 1275]]","[[885, 1305]]","[[885, 1200]]","[[690, 870]]","[[885, 1200]]"
Cast Iron at the Omni Fort Worth,"[[480, 540], [0, 195]]",[],"[[465, 870]]","[[915, 1185]]","[[465, 870]]","[[645, 720]]","[[720, 1440]]"
Buca di Beppo - Southlake,[],"[[945, 1440]]","[[0, 135], [600, 945]]",[],"[[810, 1440]]","[[0, 60], [885, 1440]]","[[0, 150]]"
Edoko Sushi,"[[405, 1050], [0, 165]]","[[780, 1440]]","[[0, 225], [645, 795]]",[],"[[1065, 1260]]","[[405, 1050]]","[[735, 1440]]"
Kenny's Italian Kitchen,"[[1035, 1440]]","[[0, 120]]","[[495, 1440]]","[[0, 90], [720, 1305]]","[[390, 630]]","[[525, 1440]]","[[0, 90], [480, 750]]"
Texas Spice,"[[300, 1035]]",[],"[[960, 1440]]","[[0, 720], [540, 1275]]","[[570, 1440]]","[[0, 120], [825, 1200]]","[[435, 1290]]"
Artin's Grill,"[[1020, 1275], [0, 150]]",[],"[[465, 1050]]","[[990, 1215]]","[[840, 1110]]","[[750, 1035]]","[[390, 1440]]"
Jaxx Steakhouse,"[[570, 600]]","[[705, 1365]]","[[885, 1440]]","[[0, 90], [870, 1440]]","[[885, 1440], [0, 210]]","[[705, 1365], [0, 90]]","[[615, 1230]]"
Ziziki's - N. Dallas,"[[0, 720]]","[[900, 1440]]","[[0, 210]]","[[660, 1260]]","[[1005, 1140]]","[[390, 1005]]","[[990, 1440]]"
Roy's Plano,[],"[[600, 1170]]","[[390, 780]]","[[540, 1395]]",[],"[[300, 1065]]","[[390, 780]]"
Ziziki's -  Plano,"[[870, 1440]]","[[0, 750], [870, 1005]]","[[1020, 1440]]","[[0, 60], [585, 810]]","[[855, 1440]]","[[0, 195], [495, 1440]]","[[0, 210], [825, 915]]"
Meddlesome Moth,[],"[[870, 960]]",[],"[[720, 885]]","[[870, 960]]","[[735, 1395]]","[[390, 720]]"
RockIsland (Demo/Test),"[[480, 540]]",[],"[[825, 1035]]",[],"[[510, 885]]","[[390, 1305]]","[[780, 1185]]"
Ragnars,"[[495, 1410]]","[[810, 1140]]",[],"[[480, 1365]]","[[1050, 1185]]","[[795, 990]]","[[1050, 1185]]"
Downing Street Grill,"[[810, 930]]","[[795, 885]]","[[810, 930]]","[[960, 1260]]","[[810, 1440]]","[[960, 1260], [0, 195]]","[[795, 885]]"
TAG,"[[435, 1425]]","[[645, 1215]]","[[735, 1140]]","[[705, 1440]]","[[435, 1425], [0, 210]]","[[1065, 1440]]","[[0, 750], [495, 705]]"
Rio Grande - Frisco,[],"[[945, 1440]]","[[0, 750], [420, 1440]]","[[0, 75], [480, 1410]]","[[705, 990]]","[[780, 1440]]","[[705, 990], [0, 210]]"
Tempranillo,"[[495, 825]]","[[825, 1125]]","[[300, 705]]","[[435, 510]]","[[960, 1440]]","[[435, 510], [0, 765]]","[[510, 840]]"
Square Grouper,"[[435, 855]]","[[315, 975]]","[[330, 465]]","[[690, 810]]","[[330, 495]]","[[690, 810]]","[[555, 885]]"
Banzai Sushi,"[[495, 1440]]","[[0, 75], [570, 1440]]","[[0, 120], [810, 1035]]","[[525, 1440]]","[[0, 225]]","[[300, 960]]","[[675, 885]]"
Atticus,"[[1050, 1440]]","[[0, 195], [840, 1155]]","[[330, 360]]","[[705, 795]]","[[705, 1425]]","[[840, 1155]]","[[705, 1425]]"
Bramble & Hare,[],"[[615, 1095]]","[[375, 660]]","[[810, 1440]]","[[0, 180], [1065, 1230]]","[[810, 1440]]","[[375, 660], [0, 180]]"
Tapas D Jerez,"[[915, 1125]]",[],"[[840, 1440]]","[[0, 210], [645, 1440]]","[[0, 60], [840, 900]]","[[645, 1440]]","[[0, 60], [330, 840]]"
Flavor Telluride,"[[405, 720]]",[],[],"[[780, 1185]]","[[675, 1350]]","[[900, 1350]]","[[585, 930]]"
Gaia Bistro,"[[420, 1425]]","[[360, 1335]]","[[930, 1440]]","[[420, 1425], [0, 135]]","[[930, 1440]]","[[0, 135]]","[[1035, 1125]]"
Izakaya Den,"[[855, 1440]]","[[0, 735]]","[[585, 900]]","[[465, 735]]","[[975, 1185]]","[[750, 885]]","[[975, 1185]]"
Beatrice & Woodsley,[],"[[825, 930]]","[[555, 900]]","[[765, 1440]]","[[0, 165], [630, 1260]]","[[510, 1050]]","[[975, 1155]]"
Talay Grille,"[[735, 1335]]","[[600, 825]]","[[495, 765]]","[[915, 1275]]","[[1065, 1440]]","[[0, 90], [405, 1320]]","[[630, 660]]"
Table 6,"[[600, 1440]]","[[0, 75], [945, 1440]]","[[0, 225], [810, 1215]]","[[600, 1440]]","[[0, 75], [765, 1365]]","[[765, 1050]]","[[855, 1200]]"
Deno's Mountain Bistro,"[[705, 945]]","[[345, 1440]]","[[0, 75], [810, 1260]]",[],"[[615, 675]]","[[810, 1260]]","[[705, 1095]]"
Ember,"[[1020, 1275]]","[[450, 765]]","[[645, 720]]","[[900, 1110]]","[[585, 1230]]","[[1020, 1275]]","[[600, 735]]"
Atwater on Gore Creek,"[[675, 810]]",[],"[[840, 1080]]","[[945, 1215]]","[[705, 735]]","[[795, 1335]]","[[945, 1215]]"
Gumbos,[],"[[660, 1440]]","[[0, 120], [915, 1110]]","[[930, 1425]]","[[825, 1440]]","[[0, 225], [345, 465]]","[[510, 1260]]"
Hapa Sushi Grill and Sake Bar Lodo,"[[315, 1095], [0, 150]]","[[705, 810]]","[[945, 975]]","[[405, 690]]",[],"[[870, 1440]]","[[0, 750], [615, 1440]]"
Haymaker Patio & Grill,[],"[[1020, 1440]]","[[0, 735], [870, 1440]]","[[0, 765], [300, 615]]","[[570, 1230]]","[[390, 975]]","[[540, 945]]"
Carmine's On Penn,[],"[[1005, 1065]]","[[855, 1005]]","[[795, 1275]]",[],"[[615, 690]]","[[1050, 1185]]"
Kona Grill - Denver,[],"[[615, 765]]","[[780, 1110]]","[[810, 915]]","[[480, 1065]]","[[780, 1110]]","[[810, 915]]"
Kachina Southwestern Grill,"[[540, 1275], [0, 75]]","[[780, 1425]]",[],"[[360, 1230]]","[[420, 720]]","[[540, 1275]]","[[945, 1440]]"
Little India Restaurant - Belmar,[],"[[450, 960]]","[[480, 1440]]","[[0, 195], [600, 690]]","[[855, 1410]]","[[570, 1065]]","[[870, 975]]"
Buffalo Wild Wings Bar and Grill,"[[0, 60]]","[[375, 1200]]","[[480, 855]]","[[390, 1440]]","[[0, 120], [780, 1440]]","[[0, 765], [855, 1125]]","[[810, 1440]]"
East by Southwest,"[[375, 510]]","[[1020, 1440]]","[[0, 750], [720, 765]]","[[375, 510]]","[[615, 810]]","[[960, 1440]]","[[0, 735], [840, 1320]]"
ELWAY'S Downtown,"[[525, 1080]]","[[945, 1080]]","[[1065, 1170]]","[[1020, 1155]]","[[945, 1080]]","[[660, 1245]]","[[1020, 1155]]"
Low Country Kitchen,"[[735, 1350]]","[[750, 1425]]","[[495, 1080]]",[],"[[645, 1395]]","[[765, 1095]]","[[750, 1425]]"
Colterra,[],"[[750, 1440]]","[[0, 720], [555, 1155]]",[],"[[465, 480]]","[[360, 705]]","[[420, 1020]]"
Twin Owls Steakhouse,"[[1020, 1440]]","[[0, 150], [435, 1260]]","[[885, 1410]]","[[435, 1260]]","[[435, 705]]","[[345, 765]]",[]
Firenze a Tavola,[],"[[420, 900]]","[[855, 1305]]","[[750, 1365]]","[[375, 435]]","[[360, 480]]",[]
Beano's Cabin,"[[0, 120]]","[[1020, 1095]]","[[945, 1020]]",[],"[[765, 945]]","[[480, 690]]","[[900, 1440]]"
Blue River Bistro,"[[450, 585]]",[],"[[330, 495]]","[[450, 585]]","[[870, 1200]]","[[450, 1290]]","[[525, 1290]]"
Bol Restaurant,[],"[[585, 1035]]","[[450, 1440]]","[[0, 225], [480, 1065]]","[[585, 1035]]","[[945, 1440]]","[[0, 105], [630, 1290]]"
Mercantile Dining and Provision,"[[900, 1335]]","[[570, 1245]]","[[300, 495]]","[[900, 1335]]","[[690, 1155]]","[[570, 1245]]","[[690, 1155]]"
Jose Muldoon's,"[[885, 1185], [0, 150]]","[[795, 900]]","[[1020, 1125]]","[[885, 1185]]","[[360, 1320]]","[[855, 1305]]","[[780, 1440]]"
Sushi Den,[],"[[660, 915]]","[[480, 615]]","[[630, 1200]]","[[720, 1215]]","[[660, 915]]","[[480, 615]]"
Terra Bistro,"[[375, 885]]","[[645, 750]]","[[750, 1275]]","[[990, 1200]]","[[570, 1245]]","[[855, 1425]]","[[990, 1200]]"
Flatz,"[[855, 1440], [0, 120]]","[[0, 720], [945, 1440]]","[[0, 120], [735, 1320]]","[[1050, 1440]]","[[0, 195], [840, 1215]]","[[405, 885]]","[[960, 1440]]"
Buon Appetito,"[[1005, 1440]]","[[0, 150], [825, 1440]]","[[0, 60], [540, 1215]]",[],"[[525, 930]]","[[975, 1245]]","[[1005, 1125]]"
The Perfect Landing,[],"[[1035, 1440]]","[[0, 180], [1020, 1305]]",[],"[[750, 870]]","[[480, 885]]","[[705, 750]]"
Brook's Steak House & Cellar,"[[405, 600]]",[],"[[555, 1380]]","[[855, 1245]]","[[1050, 1425]]",[],"[[795, 1185]]"
Keystone Ranch Restaurant,"[[570, 945]]","[[930, 1395]]","[[1035, 1305]]","[[570, 945]]","[[330, 690]]","[[870, 1440]]","[[0, 735], [600, 1125]]"
Starlight Dinners at TenMile Station,"[[465, 1095]]","[[960, 1410]]","[[465, 1095]]","[[975, 1230]]","[[600, 840]]","[[360, 570]]","[[630, 1305]]"
Village Tavern Broomfield,"[[645, 960]]","[[510, 720]]","[[555, 1440]]","[[0, 195], [870, 1380]]","[[555, 1440]]","[[0, 195], [810, 1260]]",[]
P17,"[[825, 1365], [0, 90]]","[[720, 1410]]","[[360, 1440]]","[[0, 90], [930, 975]]",[],"[[810, 1440]]","[[360, 1440], [0, 150]]"
The 9th Door - Beauvallon,"[[420, 540]]","[[540, 915]]","[[810, 1395]]","[[420, 540]]","[[720, 1440]]","[[0, 225], [825, 1440]]","[[0, 105], [840, 1335]]"
The Table Top,"[[450, 870], [0, 90]]","[[855, 1035]]","[[450, 870]]","[[345, 1440]]","[[0, 90], [570, 1185]]","[[555, 810]]","[[345, 1440]]"
Lake Terrace - The Broadmoor,"[[525, 975]]","[[390, 1440]]","[[0, 135], [540, 810]]","[[660, 750]]","[[390, 1440]]","[[0, 135], [540, 810]]","[[600, 810]]"
The Nickel - Hotel Teatro,"[[1020, 1245], [0, 195]]","[[780, 1275]]","[[645, 765]]",[],"[[585, 1440]]","[[780, 1275], [0, 150]]","[[825, 1440]]"
The Populist,"[[660, 930]]","[[495, 705]]","[[990, 1425]]","[[930, 1005]]","[[315, 360]]","[[555, 1155]]","[[495, 705]]"
The Fort,[],"[[570, 1440]]","[[0, 180], [300, 735]]","[[690, 780]]","[[750, 1110]]","[[555, 930]]","[[750, 1110]]"
Mateo,"[[600, 1440]]","[[0, 150], [990, 1140]]","[[915, 1170]]","[[915, 1335]]","[[900, 975]]","[[900, 1440]]","[[990, 1140], [0, 720]]"
Boulder ChopHouse & Tavern,"[[0, 210]]",[],"[[1065, 1440]]","[[0, 210]]","[[330, 825]]","[[915, 1440]]","[[1065, 1440], [0, 105]]"
Boulder Cork,"[[600, 1365]]","[[450, 1050]]","[[600, 1365]]","[[615, 1320]]","[[465, 810]]","[[450, 1050]]","[[825, 945]]"
Game Creek Restaurant,"[[915, 1440]]","[[0, 105], [585, 660]]","[[600, 1290]]","[[915, 1440]]","[[0, 105], [510, 945]]","[[300, 1440]]","[[0, 180], [750, 945]]"
Der Fondue Chessel,"[[855, 1290]]","[[420, 495]]","[[945, 1005]]",[],"[[300, 675]]","[[420, 495]]","[[300, 675]]"
Sweet Basil,[],"[[1005, 1440]]","[[0, 210], [990, 1440]]","[[0, 135], [960, 1380]]","[[705, 1440]]","[[0, 225], [465, 705]]","[[825, 945]]"
Duo Restaurant,"[[585, 615]]","[[600, 1440]]","[[0, 60], [390, 1350]]","[[645, 990]]","[[585, 615]]","[[315, 1050]]","[[1035, 1215]]"
Denver Chophouse,"[[825, 1125]]",[],"[[960, 1080]]","[[915, 1365]]","[[630, 1155]]",[],"[[705, 1185]]"
Four Points,[],"[[765, 960]]","[[960, 1365]]","[[675, 1080]]","[[435, 1440]]","[[960, 1365], [0, 180]]","[[1005, 1125]]"
SaddleRidge,"[[795, 885], [0, 225]]","[[690, 1035]]","[[465, 1065]]","[[705, 1170]]","[[735, 750]]",[],"[[615, 1440]]"
Limelight Supper Club & Lounge,"[[1050, 1440], [0, 225]]","[[0, 165]]","[[945, 1395]]","[[600, 1275]]","[[330, 1095]]","[[1050, 1440]]","[[0, 165], [765, 1440]]"
Rio Grande - Ft. Collins,"[[780, 1065]]","[[960, 1440]]","[[0, 165], [765, 1065]]",[],"[[960, 1200]]","[[300, 1170]]","[[735, 1350]]"
Thirsty Lion - Denver,[],"[[765, 1440]]","[[0, 195], [735, 1080]]","[[480, 735]]","[[1050, 1260]]","[[735, 1080]]","[[435, 960]]"
McLoughlin's Restaurant & Bar,"[[0, 75]]",[],"[[390, 1110]]","[[405, 1320]]","[[885, 1425]]","[[1035, 1215]]","[[1005, 1440]]"
El Moro Spirits & Tavern,"[[0, 225]]","[[555, 1125]]","[[435, 1020]]","[[540, 900]]","[[1005, 1440]]","[[0, 195], [765, 1440]]","[[0, 180], [525, 1440]]"
Mirabelle Restaurant,"[[645, 1440]]","[[0, 210], [630, 1230]]","[[735, 1440]]","[[0, 150], [375, 1170]]","[[825, 1440]]","[[630, 1230], [0, 75]]","[[540, 690]]"
Briar Rose Chophouse & Saloon,"[[765, 1350]]","[[780, 930]]","[[840, 1425]]","[[390, 810]]","[[765, 1350]]","[[690, 855]]","[[315, 765]]"
Ship Tavern at the Brown Palace,"[[990, 1125], [0, 225]]","[[315, 1110]]","[[990, 1275]]","[[885, 1440]]","[[990, 1275], [0, 225]]","[[990, 1125]]","[[825, 1440]]"
Kelly Liken,"[[750, 1275], [0, 105]]","[[945, 975]]","[[1050, 1350]]","[[360, 765]]","[[870, 1440]]","[[0, 165]]","[[570, 1440]]"
Larkspur Restaurant & Bar,"[[870, 1170], [0, 120]]","[[570, 1440]]","[[0, 225], [990, 1440]]","[[0, 225], [615, 1290]]","[[930, 1155]]","[[795, 990]]","[[600, 1440]]"
Fresh Fish Co.,"[[765, 1395]]","[[420, 495]]","[[765, 1395]]","[[780, 1230]]","[[645, 1260]]","[[600, 885]]","[[315, 555]]"
Alpenglow Stube,[],"[[345, 990]]","[[660, 1125]]","[[345, 990]]","[[990, 1440]]","[[0, 120]]","[[330, 1035]]"
Great Northern,"[[600, 1350]]","[[570, 735]]","[[600, 1350]]","[[930, 1440]]","[[0, 735], [915, 1440]]","[[0, 750], [660, 1095]]","[[705, 1170]]"
Palettes at the Denver Art Museum,[],"[[615, 885]]","[[555, 1155]]","[[585, 690]]","[[345, 1200]]","[[570, 1440]]","[[0, 180], [810, 1185]]"
The Capital Grille - Denver,[],"[[945, 1395]]","[[585, 1185]]","[[945, 1395]]","[[750, 1260]]",[],"[[465, 1395]]"
Morton's The Steakhouse - Denver,"[[930, 1440]]","[[0, 165], [315, 810]]","[[930, 1440]]","[[0, 165], [1065, 1440]]","[[0, 105], [720, 1290]]","[[690, 1200]]","[[840, 1005]]"
Western BBQ,"[[825, 930]]","[[975, 1275]]","[[1050, 1185]]","[[660, 1440]]","[[0, 195], [855, 1350]]","[[1005, 1440]]","[[0, 60]]"
Cafe Mercato,"[[780, 1380]]",[],"[[735, 1440]]","[[0, 225]]","[[615, 1035]]","[[1020, 1290]]","[[510, 735]]"
Volcano Asian Cuisine,"[[495, 675]]","[[345, 915]]","[[1005, 1365]]","[[450, 1095]]","[[780, 1335]]","[[630, 1185]]","[[915, 1275]]"
Phantom Canyon Brewing,"[[915, 1440]]","[[0, 180], [645, 765]]","[[810, 1335]]","[[390, 570]]","[[915, 1440]]","[[0, 180], [810, 1335]]","[[390, 570]]"
Dorchester Social Eatery,[],"[[900, 1440]]","[[0, 105], [540, 1050]]","[[525, 600]]","[[705, 1410]]","[[555, 1230]]","[[705, 1215]]"
Bent Fork Grill - Loveland,"[[540, 1440]]","[[0, 135], [585, 930]]","[[480, 1440]]","[[540, 1440], [0, 90]]","[[0, 135], [585, 930]]","[[870, 1215]]","[[990, 1125]]"
The Keg Steakhouse + Bar,"[[450, 1440]]","[[0, 120], [390, 570]]","[[330, 1125]]","[[420, 945]]","[[390, 570]]","[[330, 1125]]","[[390, 840]]"
Matsuhisa - Aspen,"[[705, 750]]","[[765, 900]]","[[1020, 1320]]","[[705, 750]]",[],"[[390, 1440]]","[[0, 165], [465, 870]]"
Ski Tip Lodge,"[[1020, 1350]]","[[915, 1050]]","[[1065, 1230]]","[[855, 1035]]","[[810, 930]]","[[540, 1125]]","[[1065, 1230]]"
Carlos' Bistro,"[[1065, 1440]]","[[0, 195], [855, 1170]]","[[540, 1050]]","[[630, 990]]","[[1065, 1440]]","[[0, 195]]","[[1065, 1260]]"
Solera Restaurant & Wine Bar,[],"[[585, 1350]]",[],"[[735, 1230]]","[[390, 720]]","[[735, 1230]]","[[390, 720]]"
Cuvee World Bistro,"[[465, 1440]]","[[0, 120], [1050, 1440]]","[[0, 765], [1035, 1320]]","[[1050, 1440]]","[[0, 765], [825, 1410]]","[[570, 1350]]","[[315, 1275]]"
Element 47,"[[855, 1440]]","[[0, 120], [465, 1095]]",[],"[[315, 1035]]","[[555, 1320]]","[[735, 975]]","[[915, 1320]]"
1515 Restaurant,[],[],"[[660, 1260]]","[[360, 1260]]","[[735, 1140]]","[[885, 1440]]","[[0, 90], [420, 975]]"
Bistro Vendome,[],"[[630, 1020]]","[[990, 1440]]","[[0, 210], [585, 990]]","[[630, 1020]]","[[540, 1440]]","[[585, 990], [0, 210]]"
Hearthstone Restaurant,"[[855, 915]]","[[690, 1245]]","[[435, 600]]","[[420, 855]]","[[855, 915]]","[[900, 1170]]","[[555, 1095]]"
Landry's Seafood House - Denver,"[[735, 1440]]","[[0, 135], [960, 1365]]","[[990, 1125]]",[],"[[990, 1020]]","[[720, 915]]","[[675, 1365]]"
range,"[[405, 1425]]","[[720, 1425]]","[[825, 1365]]",[],"[[1035, 1080]]","[[825, 1365]]","[[630, 1125]]"
221 South Oak Bistro,"[[915, 1170]]",[],"[[780, 1440]]","[[0, 720], [795, 1005]]","[[915, 1170]]","[[375, 1440]]","[[0, 195], [1050, 1350]]"
Ale House @ Amato's,"[[675, 1425]]","[[315, 1440]]","[[0, 105], [1005, 1170]]","[[630, 1425]]","[[1005, 1440]]","[[315, 1440], [0, 225]]","[[0, 105], [540, 705]]"
The Curtis Club,[],"[[420, 1410]]","[[495, 1440]]","[[0, 150], [750, 1365]]",[],"[[1065, 1260]]","[[675, 1320]]"
DiFranco's,"[[450, 975]]","[[390, 1185]]","[[675, 1065]]","[[390, 1185]]","[[480, 1215]]","[[915, 1320]]","[[675, 1065]]"
Elway's Cherry Creek,"[[960, 1440]]","[[0, 120]]","[[1065, 1230]]",[],"[[375, 600]]","[[825, 975]]","[[750, 1110]]"
Rio Del Sol,"[[1035, 1230]]","[[780, 1440]]","[[0, 75], [360, 1035]]",[],"[[690, 780]]","[[375, 1260]]","[[360, 735]]"
Fruition Restaurant,"[[690, 930]]","[[795, 1440]]","[[0, 165], [1035, 1335]]","[[735, 765]]","[[330, 1305]]","[[390, 1170]]","[[1035, 1335]]"
